item_id,topic,version,answer,message_word_count,action_phrase,message_text,question,selected_text
1,payment,A_FORMAL,TAK,18,Zweryfikuj dane karty albo wybierz inną metodę płatności,"Nie można zrealizować płatności, ponieważ autoryzacja karty zakończyła się niepowodzeniem. Zweryfikuj dane karty albo wybierz inną metodę płatności.",Czy użytkownik powinien sprawdzić dane karty?,"KOMUNIKAT: Nie można zrealizować płatności, ponieważ autoryzacja karty zakończyła się niepowodzeniem. Zweryfikuj dane karty albo wybierz inną metodę płatności.

PYTANIE: Czy użytkownik powinien sprawdzić dane karty?"
5,file,B_SIMPLE,TAK,16,Wybierz mniejszy plik i spróbuj ponownie,"Nie można przesłać pliku, ponieważ jest większy niż dziesięć megabajtów. Wybierz mniejszy plik i spróbuj ponownie.",Czy użytkownik powinien wybrać mniejszy plik?,"KOMUNIKAT: Nie można przesłać pliku, ponieważ jest większy niż dziesięć megabajtów. Wybierz mniejszy plik i spróbuj ponownie.

PYTANIE: Czy użytkownik powinien wybrać mniejszy plik?"
2,password,A_FORMAL,NIE,14,Zweryfikuj hasło i spróbuj ponownie,Logowanie nie zostało zakończone z powodu nieprawidłowych danych uwierzytelniających. Zweryfikuj hasło i spróbuj ponownie.,Czy użytkownik powinien od razu kontaktować się z obsługą?,"KOMUNIKAT: Logowanie nie zostało zakończone z powodu nieprawidłowych danych uwierzytelniających. Zweryfikuj hasło i spróbuj ponownie.

PYTANIE: Czy użytkownik powinien od razu kontaktować się z obsługą?"
6,cookies,B_SIMPLE,NIE,18,Możesz zaakceptować cookies albo zmienić ich ustawienia,"Używamy plików cookies, aby zapamiętać preferencje i analizować korzystanie ze strony. Możesz zaakceptować cookies albo zmienić ich ustawienia.",Czy zaakceptowanie cookies jest jedyną dostępną możliwością?,"KOMUNIKAT: Używamy plików cookies, aby zapamiętać preferencje i analizować korzystanie ze strony. Możesz zaakceptować cookies albo zmienić ich ustawienia.

PYTANIE: Czy zaakceptowanie cookies jest jedyną dostępną możliwością?"
3,form,A_FORMAL,TAK,19,Uzupełnij oznaczone pola i wyślij formularz ponownie,"Formularz nie może zostać przesłany, ponieważ część wymaganych informacji nie została uzupełniona. Uzupełnij oznaczone pola i wyślij formularz ponownie.",Czy użytkownik powinien uzupełnić oznaczone pola?,"KOMUNIKAT: Formularz nie może zostać przesłany, ponieważ część wymaganych informacji nie została uzupełniona. Uzupełnij oznaczone pola i wyślij formularz ponownie.

PYTANIE: Czy użytkownik powinien uzupełnić oznaczone pola?"
7,delivery,B_SIMPLE,NIE,16,Status paczki możesz sprawdzić w historii swoich zamówień,Dostawa zajmuje dwa dni robocze od przyjęcia zamówienia. Status paczki możesz sprawdzić w historii swoich zamówień.,Czy przesyłka zostanie doręczona tego samego dnia?,"KOMUNIKAT: Dostawa zajmuje dwa dni robocze od przyjęcia zamówienia. Status paczki możesz sprawdzić w historii swoich zamówień.

PYTANIE: Czy przesyłka zostanie doręczona tego samego dnia?"
4,network,A_FORMAL,NIE,17,Sprawdź połączenie z internetem i ponów próbę,Operacja nie może zostać wykonana z powodu braku połączenia sieciowego. Sprawdź połączenie z internetem i ponów próbę.,Czy problem dotyczy uszkodzenia pliku?,"KOMUNIKAT: Operacja nie może zostać wykonana z powodu braku połączenia sieciowego. Sprawdź połączenie z internetem i ponów próbę.

PYTANIE: Czy problem dotyczy uszkodzenia pliku?"
8,account,B_SIMPLE,TAK,16,Adres e-mail możesz zmienić samodzielnie w ustawieniach profilu,Adres e-mail możesz zmienić samodzielnie w ustawieniach profilu. Po zapisaniu zmian musisz ponownie potwierdzić nowy adres.,Czy użytkownik może samodzielnie zmienić adres e-mail?,"KOMUNIKAT: Adres e-mail możesz zmienić samodzielnie w ustawieniach profilu. Po zapisaniu zmian musisz ponownie potwierdzić nowy adres.

PYTANIE: Czy użytkownik może samodzielnie zmienić adres e-mail?"
1,payment,B_SIMPLE,TAK,18,Sprawdź dane karty albo wybierz inną metodę płatności,"Nie udało się zrealizować płatności, ponieważ karta nie została zaakceptowana. Sprawdź dane karty albo wybierz inną metodę płatności.",Czy użytkownik powinien sprawdzić dane karty?,"KOMUNIKAT: Nie udało się zrealizować płatności, ponieważ karta nie została zaakceptowana. Sprawdź dane karty albo wybierz inną metodę płatności.

PYTANIE: Czy użytkownik powinien sprawdzić dane karty?"
5,file,A_FORMAL,TAK,16,Wybierz mniejszy plik i spróbuj ponownie,"Pliku nie można przesłać, ponieważ rozmiar przekracza limit dziesięciu megabajtów. Wybierz mniejszy plik i spróbuj ponownie.",Czy użytkownik powinien wybrać mniejszy plik?,"KOMUNIKAT: Pliku nie można przesłać, ponieważ rozmiar przekracza limit dziesięciu megabajtów. Wybierz mniejszy plik i spróbuj ponownie.

PYTANIE: Czy użytkownik powinien wybrać mniejszy plik?"
2,password,B_SIMPLE,NIE,14,Sprawdź hasło i spróbuj ponownie,"Nie udało się zalogować, ponieważ wpisane hasło jest nieprawidłowe. Sprawdź hasło i spróbuj ponownie.",Czy użytkownik powinien od razu kontaktować się z obsługą?,"KOMUNIKAT: Nie udało się zalogować, ponieważ wpisane hasło jest nieprawidłowe. Sprawdź hasło i spróbuj ponownie.

PYTANIE: Czy użytkownik powinien od razu kontaktować się z obsługą?"
