stimulus_id,domain,class,image_path,y_min,y_max
machine_low_01,machine,low,generated_dataset\image_noise_demo\low\machine_low_01.png,-1.7,1.7
machine_low_02,machine,low,generated_dataset\image_noise_demo\low\machine_low_02.png,-1.7,1.7
machine_low_03,machine,low,generated_dataset\image_noise_demo\low\machine_low_03.png,-1.7,1.7
machine_medium_01,machine,medium,generated_dataset\image_noise_demo\medium\machine_medium_01.png,-1.7,1.7
machine_medium_02,machine,medium,generated_dataset\image_noise_demo\medium\machine_medium_02.png,-1.7,1.7
machine_medium_03,machine,medium,generated_dataset\image_noise_demo\medium\machine_medium_03.png,-1.7,1.7
machine_high_01,machine,high,generated_dataset\image_noise_demo\high\machine_high_01.png,-1.7,1.7
machine_high_02,machine,high,generated_dataset\image_noise_demo\high\machine_high_02.png,-1.7,1.7
machine_high_03,machine,high,generated_dataset\image_noise_demo\high\machine_high_03.png,-1.7,1.7
pv_low_01,pv,low,generated_dataset\image_noise_demo\low\pv_low_01.png,0.35,1.02
pv_low_02,pv,low,generated_dataset\image_noise_demo\low\pv_low_02.png,0.35,1.02
pv_low_03,pv,low,generated_dataset\image_noise_demo\low\pv_low_03.png,0.35,1.02
pv_medium_01,pv,medium,generated_dataset\image_noise_demo\medium\pv_medium_01.png,0.35,1.02
pv_medium_02,pv,medium,generated_dataset\image_noise_demo\medium\pv_medium_02.png,0.35,1.02
pv_medium_03,pv,medium,generated_dataset\image_noise_demo\medium\pv_medium_03.png,0.35,1.02
pv_high_01,pv,high,generated_dataset\image_noise_demo\high\pv_high_01.png,0.35,1.02
pv_high_02,pv,high,generated_dataset\image_noise_demo\high\pv_high_02.png,0.35,1.02
pv_high_03,pv,high,generated_dataset\image_noise_demo\high\pv_high_03.png,0.35,1.02
