id,s000,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015,s016,s017,s018,s019,s020,s021,s022,s023,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s045,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057,s058,s059,s060,s061,s062,s063,s064,s065,s066,s067,s068,s069,s070,s071,s072,s073,s074,s075,s076,s077,s078,s079,s080,s081,s082,s083,s084,s085,s086,s087,s088,s089,s090,s091,s092,s093,s094,s095,s096,s097,s098,s099,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,s115,s116,s117,s118,s119,s120,s121,s122,s123,s124,s125,s126,s127,class
machine_low_01,0.07543751764019929,0.5092453249057396,0.8627765067370751,0.8904069838364645,0.7906996664289903,0.5717158302699847,0.33644455600638423,0.21931491559418254,0.07265351947986042,-0.11129361808141314,-0.41055536919381297,-0.6773927154228384,-0.9095022370040876,-0.9403802493151487,-0.8042823172912666,-0.3966426384739735,0.10740219194510328,0.6028537683833344,0.8070573153551878,0.8782057531608387,0.7443655600742185,0.5102289636915649,0.38826129446335766,0.2010493804938237,0.026170192212096252,-0.17298281498339863,-0.43411421204764067,-0.734558667928818,-0.9133854815402858,-1.0531644195544534,-0.8471529319871927,-0.4632074213167968,0.0826882238230149,0.5012720252532931,0.8735583032986465,0.9002307773746546,0.8247503076145793,0.6398122433220769,0.3945700846270251,0.27509611070768414,0.12317410014816883,-0.05166837296752383,-0.35512050284215047,-0.6160608108467251,-0.8638682835309721,-0.9733399719157433,-0.8019169568389969,-0.40647841745528057,0.11181655898952937,0.524489626778875,0.8390703820713148,0.880587058822314,0.7875501686950364,0.5510577909864482,0.3777932468217165,0.21009115467325506,0.1003840733362828,-0.08435044606293313,-0.3971517074830435,-0.7457976414922216,-0.9853694987219856,-0.9936371924515297,-0.8063157543228138,-0.44866714450051004,0.0973356989134328,0.5298861841794797,0.8034885267120944,0.8545391883199199,0.829951990765694,0.5982553892392245,0.4115002188031999,0.2365486347313692,0.06402382040564407,-0.13665089608568115,-0.3281487560035138,-0.6294201345203121,-0.9271135208361848,-1.0295960099027148,-0.8221974345320857,-0.5044813734156103,0.06550648627838745,0.5050459733797861,0.8574356711811888,0.893456949902081,0.7693297393162031,0.5666724841327511,0.4341764622132248,0.26872850993745,0.15714867750479192,-0.13442453331079074,-0.4309921767616801,-0.7201872900148114,-0.9132049751374454,-1.0192305521057503,-0.7908505597614002,-0.4205247373733003,0.05837729589412093,0.5555469960614838,0.8241584359141423,0.9157949014860024,0.8025958891663179,0.6732524546735088,0.3967639825151547,0.25370567227811447,0.09986451246044906,-0.09437882854915153,-0.3687306595737559,-0.7081134503771556,-0.9161627256934464,-1.015865216818162,-0.8762787229355491,-0.39463581988744306,0.11099114811856048,0.46822360779951877,0.7874642218147698,0.821347384852318,0.7529661087013995,0.5730355883445847,0.4269020268646088,0.30823023921674564,0.05131274793922973,-0.07323348410874225,-0.40132182852643294,-0.7151814063415622,-0.8516772748455766,-0.9927736268538004,-0.8776612977134017,-0.4714038699813855,low
machine_low_02,0.07543751764019929,0.5268722241965836,0.8643163003767639,0.9363094682204707,0.779965981918622,0.6188103594879031,0.4079270967099581,0.20934393480877841,0.05935408365354389,-0.13987390107329747,-0.40844738114548135,-0.7084991210509456,-0.9040791043107466,-0.9970535134804298,-0.8190627033344156,-0.4122309468145692,0.09843293078465176,0.5924944579118208,0.8557744853237041,0.9102419082144687,0.8219279484544197,0.5960288236034452,0.42221318971176086,0.23819981932506099,0.06962557833074616,-0.1160879050098192,-0.33446165650493614,-0.7159832412269536,-0.9217558450915707,-0.9503451008123253,-0.7881038730942231,-0.4146495843817216,0.006348693961781768,0.44833543955619976,0.7236632293874062,0.8127098392323806,0.6599066736602089,0.5302985937706702,0.34881221623725944,0.2709614062763776,0.054650395229961804,-0.11683892398790328,-0.3955819352371216,-0.6894356674066946,-0.917262220075923,-0.9235165749092794,-0.8205642972231199,-0.4062157620717592,0.05776969399326739,0.5200434536217846,0.8225137530721662,0.975690151963387,0.7067678729104283,0.525922952663054,0.40292184893196686,0.1860859945924231,0.05634252711075868,-0.1392929531128574,-0.4314812703446184,-0.6989390022021218,-0.8761629164169025,-1.005155612095559,-0.7264166775353944,-0.41989232165454465,0.06698374019871703,0.5372148323353919,0.8313253103118516,0.9369513343313843,0.7885996764762584,0.5770103515123812,0.395791367351914,0.25078984041302343,0.18998289290579545,-0.1590929219116487,-0.4820011743746739,-0.7381695573468064,-0.9988328973751037,-1.033865954164426,-0.7528654556206968,-0.3367951056668917,0.16500996491183367,0.5578531130260488,0.8798609499258754,0.9181113941597745,0.785353169845736,0.6101167690619785,0.44176055799600206,0.2014209196322513,0.07856103314650803,-0.15129517919036192,-0.41247712442990897,-0.6934559425435276,-0.9481541310591796,-0.9840748060581302,-0.8201018381724376,-0.42879276791059323,0.06860201220541545,0.5414366529010125,0.8308402280209407,0.9007251200209513,0.8243415908847858,0.6615013971955377,0.43934640047001805,0.2143361749941663,0.12715935998576522,-0.15335866928467418,-0.4764075932854958,-0.8043113270810375,-0.9460990580000664,-0.9933652235465168,-0.8209278719830903,-0.3912647622936926,0.11507744574047671,0.5035729585715482,0.83494146179722,0.871433696426826,0.7663632677349088,0.6337716121162607,0.42162524922844064,0.22804500624153012,0.1323727665100334,-0.15299929003452184,-0.4099274685323667,-0.6613705953951716,-0.9071273487464642,-0.9719330284257401,-0.7935108979464495,-0.3307749288725929,low
machine_low_03,0.07543751764019929,0.4822687329043978,0.7770296771114453,0.8535286822632016,0.7790715236704038,0.5477507615299252,0.2997536208731407,0.21549600192124505,0.05139078479766168,-0.1389847221009898,-0.3143659488285906,-0.779278167524862,-0.9106939300979844,-0.9518590813001467,-0.7635647606451705,-0.385397940617641,0.040940033424053286,0.5603484275116755,0.8430526044073237,0.9390146990211328,0.8225798628745645,0.5599424500181952,0.3034846531867163,0.22061717935933978,0.04943475562586298,-0.12687793142445347,-0.4140028937953275,-0.7204195870385438,-0.8615870515814101,-0.9423929431816588,-0.8019500111216868,-0.4503484160866906,0.07709852768944388,0.5728546961827292,0.8601136789967931,0.9290070022757088,0.7459591512480515,0.5381674106794534,0.3690825644153396,0.18191655866044132,0.040830776060064605,-0.16190022518436645,-0.3881479209102781,-0.7096561356117892,-0.9919168417143714,-0.9901832639159461,-0.847323109262541,-0.4792664902959719,0.007463790936133766,0.48303029522976115,0.7697951444853011,0.8502870422731658,0.7794366063351024,0.6148504958895248,0.42156686676503874,0.2471727562567812,0.0782681399797579,-0.14155030971686755,-0.4166711520391325,-0.7616316454071164,-0.9169508294053518,-0.9743571704524501,-0.8251692981876196,-0.43045733389862595,0.084608772115826,0.5609779333908864,0.8445343455456938,0.9504786382957644,0.732499174675706,0.5754462298504335,0.3840655399885502,0.27655925627287475,0.13680275615243165,-0.09790856095030738,-0.3170600190760886,-0.6739805944575712,-0.8944422890503144,-0.9572676185593232,-0.7645637802252403,-0.3974509474930085,0.06854464015704505,0.5083623606072526,0.849793488649726,0.8261155055633828,0.7689326461340806,0.5827938487317271,0.3794573474086829,0.24838311077410447,0.057247996562481404,-0.06746003021836475,-0.355427893466545,-0.665016063669173,-0.8820131912993211,-0.998886686942255,-0.8882306657975253,-0.5040853029354843,0.031763399094471886,0.5801957911609474,0.7990148937549325,0.8821069340075224,0.7961407088001381,0.6008615544975644,0.39184101607738775,0.2532389227380939,0.03692239821738884,-0.19780080794119737,-0.33618334798173605,-0.6382820420515145,-0.8666623413189615,-1.004615015856551,-0.8691105484920149,-0.5047033523947404,0.07690915186544278,0.4874824416314215,0.7451443895115526,0.8613209561921077,0.7255663834043325,0.571818869039375,0.4459192437546318,0.21588990181805917,0.07935031216266765,-0.1388303708797035,-0.33913915322224086,-0.6466232698183335,-0.9124761641154481,-0.9568157848094585,-0.768239162004579,-0.40088547194344615,low
machine_medium_01,0.07543751764019929,0.520233039523192,0.8784258920286813,0.7001520521506306,0.6175878457966845,0.6774651731233647,0.46757500967262605,0.23653086370439955,0.11463419554187897,-0.056247699284007927,-0.29563114613603136,-0.641046463823482,-0.8947797906252586,-0.9912844268686085,-0.9007635211780533,-0.4358141197798573,0.04631515687546347,0.5093318768680929,0.7682481468588863,0.7498727424073689,0.7269762248555578,0.5419100119040265,0.2745762668428726,0.12172150240362752,0.1613538815368485,0.06045757902057913,-0.11736724506256929,-0.5606730164492812,-0.821721312469376,-0.8167549685600894,-0.5864289609145291,-0.5179052986678432,-0.043127576600147224,0.23796190700469622,0.6507058398294652,0.8703408600807906,0.7736394685319272,0.7144348849878506,0.5377680285640013,0.3772541129234178,0.032812292206128926,-0.3145582533071355,-0.47217504298374396,-0.8852242242850519,-1.0169997707115639,-1.1998472636246875,-0.9149455225043072,-0.4941131163146242,0.11430828377792368,0.5257622138544181,0.7942559945862769,0.857872012023928,0.9183151163686543,0.49278616318987295,0.46161008256484665,0.3741530962480641,0.20509981657030132,-0.17174947342599572,-0.3454573585728061,-0.6851664084804457,-0.9423147294906714,-1.0769743246666252,-0.9946972187974739,-0.684012586109771,-0.2352835843968894,0.4321121750739394,0.7476539255120013,0.8009866999554044,0.5165563555116046,0.4164875135789974,0.43119466824751695,0.2257309824619215,0.07192229808339054,0.039026038664174215,-0.42950636453347346,-0.5156149209504423,-0.9180999422331348,-1.0900237259645444,-0.8889603475686163,-0.3956894958196387,0.15317761040703845,0.6953956843634304,0.9245897309930433,0.9371996141588503,0.6302142839739323,0.26823775745716827,0.11561883187507621,0.028940354467199808,0.02687883738605484,-0.27556423221865556,-0.43467142407237747,-0.7772533090273311,-1.0287928629643506,-1.0258160275592856,-0.7336517003403672,-0.33714473987106797,0.09284975281916426,0.6199396687222252,0.6870933106574737,0.8588624220438067,0.7104419579998783,0.5420095752748891,0.21834732389111183,0.05363952033723344,0.1031278046895599,-0.17936768177638415,-0.4231035439957045,-0.7695459101231609,-0.6913283296311076,-0.9291194487412537,-0.8731834671758514,-0.5339551031396453,-0.06173298285759723,0.49779604764383517,0.9284563168985681,1.097810122205573,0.687325490551286,0.5961169909130665,0.3528535353801325,0.18360615398265856,0.21733442072458417,-0.13741542991718678,-0.4044872616066137,-0.6554568076241576,-0.9087771792553426,-0.8896555269396602,-0.9327102948853335,-0.3723805362924406,medium
machine_medium_02,0.07543751764019929,0.6113257946793969,0.8299098481374406,1.014893952458078,0.7613197401826987,0.42622558051477133,0.4278953027949864,0.23247993149767524,-0.07792953698299826,-0.1940089065221442,-0.433157280626655,-0.6500540793177481,-0.9557668146319083,-1.1405747806570468,-1.0860709375659534,-0.5467104967272596,0.09688587472412379,0.5770859593441571,0.7658977052251862,0.707237303498047,0.6375656685026746,0.457314757920155,0.1724567746641312,0.03518189876863055,-0.06732470195425033,-0.10229127135860412,-0.22839329440016126,-0.5720409205168087,-0.7316387226274517,-0.886125216188609,-0.7568454315835639,-0.3573082580009703,0.13616945031284647,0.7768472025877056,0.9521953056307614,0.9853562417407317,1.0476803231789886,0.6738410760905202,0.38272316093841074,0.4255713128360681,0.035920714143487284,-0.24060717131445097,-0.2635516710332173,-0.6303082347695761,-0.6980423126425646,-0.8704429511896619,-0.8215870302391948,-0.3020173975186038,0.15195343054596547,0.43335338231278164,0.8611451125401675,0.8700824658551284,0.7558503370202323,0.5862258720990969,0.31741110161380237,0.32609248065832697,0.11550904310307973,-0.03816835315556838,-0.26698108117467567,-0.5272253330321094,-0.6792682405939933,-0.9488478929572621,-0.8848637844436044,-0.31706419996939683,-0.01536748343226324,0.47434269194997813,0.8914980253839918,0.868759089290706,0.6941887182554807,0.5278388648848967,0.4999822580339026,0.17261249573720927,-0.022475800374342977,-0.04866084205822614,-0.5200194334670489,-0.7600939052601234,-0.9678100988040087,-1.1179337906860733,-0.8478418183682701,-0.3736014704538343,-0.027170413404123378,0.45363129263305313,0.9314602556926507,0.9072970412118142,0.6308586308829868,0.39290078165031406,0.2872968914908501,0.22577671752171732,0.1340142325235779,-0.1045666102814883,-0.3106203631504711,-0.5279183616291458,-0.8630070413965747,-1.1364747465122012,-1.0567631608112906,-0.36577231005521166,0.36806442384413496,0.6584410368009532,0.8976413607524466,0.8420287544548414,0.6644038496500135,0.6308885238501671,0.33643423663426647,0.06643935638038384,0.19176631344504413,0.07601317199799668,-0.4324198648485366,-0.7322658232657182,-0.9789109045750083,-0.9547527019527107,-0.868656230381384,-0.31297480252717824,0.288080705555389,0.4634192940172158,0.5850218754758688,0.7993183570091186,0.7574049379689013,0.5348173990113757,0.28261654966556116,0.25489745814758447,0.16133772212474784,-0.057729839649880446,-0.23136870040500768,-0.802771554043975,-0.8319326932732959,-0.9298148456153871,-0.8381552800588778,-0.4737005554311185,medium
machine_medium_03,0.07543751764019929,0.671626338582424,0.8198150798941672,0.8759785269821057,0.9098484502731832,0.8594898066485694,0.6504454682798511,0.4697278789535627,0.13196498900976303,-0.26533686378300003,-0.44885336623645317,-0.8154910659048812,-0.9931015354946593,-1.043602505982273,-0.7886224699127838,-0.4635040968960863,0.11314766496091716,0.663413956684753,0.7299208777735826,0.8608964197970053,0.6148001495873642,0.5043570553087969,0.25435846162720954,0.12392870435162891,-0.11767361016141939,-0.1550410218307678,-0.3659305742431841,-0.8197815788911158,-0.9878423869575685,-0.9675417959340579,-0.8148361916676112,-0.5358064985035104,-0.09432383734548659,0.39759267163656975,0.8487590205593268,0.8704745506526245,0.5277131547350382,0.49139860174106703,0.5074352580473197,0.3985308091394083,0.1297363057594534,-0.21387767060925394,-0.49245424133680227,-0.6568197838230064,-0.9810389356075357,-1.009807550797188,-0.9076200254384675,-0.48229621613627227,0.06768198481188636,0.47451365485652425,0.8748516342622249,0.9106531155172987,0.7430957822622763,0.5983438637055628,0.5001261770183018,0.12117451397868499,-0.28727253488245813,-0.3557850167605585,-0.585629469865156,-0.6594973100773933,-0.9349700683147494,-1.1050270480795992,-0.8466382812005531,-0.3307682509584521,0.12313649684337483,0.3256141744927865,0.7297728678527312,0.8798502243325463,0.8699021000230502,0.6735590547336463,0.46631051090777653,0.15649127795787712,0.05522738628541822,-0.07826617226769698,-0.3193032839562239,-0.5653686729009292,-0.9085283639880744,-0.9647274538003878,-0.912012202256053,-0.572896275926392,0.08226706374154594,0.5884853576783204,0.7271160564728935,0.7964411405714951,0.7709288128733163,0.5354147148005974,0.34174032530209497,0.22253667167848573,0.10660417052935031,0.13137081598999822,-0.23928663572628836,-0.7327619663467879,-0.7769231811684696,-0.9494892855356907,-0.7087785202630636,-0.22117419605155453,0.19398146535827185,0.6912977731119193,0.860122119233308,0.906072435149988,0.7848584302145211,0.6457914970553396,0.37023868161364737,0.30758853476879083,0.19444619261691085,0.2414374416952004,-0.19978270865230474,-0.6098036450062191,-0.9474665307603587,-0.8730972204280826,-0.7088351620549433,-0.44533013878441335,0.10197190914448667,0.6109750722763001,1.0536244098876897,1.1319075509452792,1.0045513250860476,0.7485287942863323,0.3978251093775956,0.2558511582439781,0.041720626827100614,-0.1514941666212342,-0.5398592107494319,-0.5874351023519577,-0.8345442616341532,-0.9056848848378577,-0.9079309423371822,-0.42571043565428307,medium
machine_high_01,0.07543751764019929,0.7514942026864205,0.863169988541241,1.1276153514615248,0.8276521525252302,0.5174592179542495,0.4187101592377059,0.0977210991414354,-0.04512480427187842,-0.17810809409627,-0.4281980691555595,-0.7312617826726365,-0.6392838108455117,-0.9866637019824719,-0.6780639904025373,0.10305738659269179,0.6682434576651383,0.485904388530038,0.826224389254182,0.9572811023872568,0.7593214346046196,0.42480065193762795,0.31811168256520056,-0.09880927081249366,-0.19801686669780114,0.17106574703990154,-0.0803481082846711,-0.7319699811161464,-1.2959977675039702,-1.2348112881548279,-0.6853297702748603,-0.3212345684415798,0.12650387407034058,0.369644252799299,0.5859630075319647,0.6343752536663685,0.393914425464549,0.622194531663225,0.42097398083218374,0.12184181479944475,-0.05463759221113145,-0.1630177064412604,-0.5087027406760309,-0.9747917257485214,-0.658096959309652,-1.0183160006823904,-0.7828847003629265,-0.46487898338934025,-0.33028501303869984,0.515681813463442,0.9467261951818918,1.100291759807906,0.913833864687712,0.4691545347692788,0.25004708405517284,0.6028391284519372,0.48390940544827205,-0.47782272330971043,-1.0640856297820616,-0.9315597243337173,-0.7880895579965611,-0.8892640897922719,-0.6320544228682096,0.0022516813005246565,0.033477065649355174,0.6919976974646205,1.2022204037704005,1.5414089244481932,0.9387839421031556,0.7086473580651051,0.27141791942069715,0.28478214735255775,0.1270369654385501,-0.20969081815171942,-0.2184699986476118,-0.39611824815938995,-0.9643319426609775,-0.8171736587396918,-0.821454939110608,-0.41405234461619667,0.22200904934970045,0.6703910977687015,0.8027006096792114,1.0417968280025038,0.7495932878025462,0.7298510648728364,0.5156580901259932,0.07515160021064798,-0.30408854716510714,-0.2194493933423676,-0.26126095104648456,-0.6133695811895176,-1.284243466962312,-1.0930534844256423,-1.153754840042249,-0.743110174736042,-0.09428860909039015,0.7190325556289539,0.7842347308616189,0.5282688755391062,0.6373483675170477,0.5836788544535879,0.6406050876138738,0.43098483551997724,0.7803967096962758,0.3278595185449098,-0.13025735893976675,-0.5805720507312165,-0.5948472249503889,-0.5466760351247137,-0.7495886513174808,-0.7434921902893301,-0.31522656304336194,0.3647048268735524,0.9491766064748235,0.8920899909770277,0.5798632283860718,0.6759810867205883,0.6149131457627377,0.757659835494816,0.3405243846980275,0.22599066021055178,-0.5662534223379807,-0.9992934704016931,-0.9883999333801251,-0.4406428675126871,-0.6073816310276592,-0.12873343503262896,high
machine_high_02,0.07543751764019929,0.5875054258512213,0.36120683973949,1.1461958957975553,1.2291385849402428,0.7681938132776864,0.3629369290462709,-0.07023009655917536,-0.009651850287547961,-0.1618553040305319,-0.4867126514348588,-0.5998035775131616,-0.8809817884947029,-1.0451445157355521,-0.5305426389906543,0.11553531974288621,0.16504613192266043,0.36982689681422304,0.8851970049516426,1.0622965683447676,0.6843403595767197,0.4120819451857285,0.6518272610677301,0.574855963441869,0.25030865951081765,-0.2484539780015501,-0.4604103611613337,-0.9834196273699196,-0.9280769221131089,-1.1760486461294006,-0.699676386849856,0.060037400382456335,0.03766390336894717,0.3054930449743238,0.6568416434083708,1.2866529536238551,1.288827243005679,0.34832286347047076,-0.5675826160675443,-0.09322801869545859,0.2611173687462195,0.03182565706189017,-0.4479935979591534,-0.6740452153007332,-0.885398461648154,-0.5306297563913285,-0.8693872901517762,-0.2270379671077263,0.29219276389567805,0.755900185712137,1.226474766828233,1.2400765913486902,0.9577638679036375,0.7536730941565903,0.5116989758812459,0.3744163292207905,0.23037476367205328,-0.23014779670675745,-0.9840545275230632,-0.8120216801213642,-0.9080826657549439,-1.1408100088154727,-1.0077484929573817,-0.42545485914032954,-0.15557899242356357,0.7376996176945992,0.8584477383422666,1.4036889270933721,0.8474783327019912,0.6893498706219418,0.5768457585302604,0.8332597501398199,0.432324180640761,0.15702841609436818,-0.12047791435828226,-0.5112544630490341,-0.9263603785041326,-1.0870799611410464,-0.5578040580570215,-0.38426903250338534,0.2524420137650739,0.6782226759110614,0.9301059747035707,0.6906146237976574,0.8898873979933866,0.5702212679721449,0.15080398792236593,-0.009904614872294989,-0.12667723124020516,-0.29197204764168494,0.09791056039374793,-0.37612548461514794,-0.9700158458469967,-1.1872622967466677,-0.9197828558663612,-0.6232183129875486,-0.03921466009341411,0.38122281379840317,0.8844539399363747,0.9095849059945407,0.7115968609455076,0.21494066121655428,0.03227335088185043,0.45851932498904513,0.2079183143981135,-0.21707716688202183,-0.4501817478809972,-0.5784492367813032,-0.766180209460777,-1.0539907752320616,-0.6317257643974741,-0.32197877054050833,0.19852027020608598,0.8695950302033164,1.0367073075678606,1.3106715620572957,0.7482789176435601,0.3799673203861436,0.004999486846799135,0.11350064215348116,0.13234788536317094,-0.028644557840971734,-0.3824250619687905,-0.6781501105512253,-0.9061852828982411,-0.7461465245164077,-0.7816868485512655,0.13875663119085924,high
machine_high_03,0.07543751764019929,0.5257353171978933,0.8566062028555546,1.1559449652436604,0.8584670561816281,0.18619758914482432,0.40428447212421037,-0.008786760624132445,-0.08205468776865447,-0.6702498112587755,-0.5603887587610787,-0.2900812933629472,-0.9755167399538728,-0.6807661916424474,-1.0876154976288515,-0.4958908669504264,-0.23631615459650657,0.41087435023643165,1.1125215616513466,1.1457518159381008,1.0185437603557224,0.8311531422257297,0.4816796471946246,0.38546527213831855,-0.2809145583564281,-0.589866671044345,-0.867214195237657,-0.9192173714436707,-0.8603688946816636,-1.1056220939720351,-0.6960685530729379,-0.2142509379058386,0.38564680605699914,0.19303138055189106,0.37700665874616035,1.135669329053472,1.074776021681506,0.8615680509189049,0.698286198105144,0.34012648498879794,-0.08254358375789782,0.11629816562379414,-0.5757069787926586,-0.5830552321309954,-1.100957514656971,-1.3120140817328958,-0.9009033693180615,-0.20231938019177334,0.2723433501839756,0.30796899269627076,0.6177951181513442,0.6038258586572058,0.6179448643543383,0.5090318952693418,0.5071484854250536,0.40698158300949944,0.08910721730034794,-0.37212826583712894,-0.13831117788458733,-0.6188633987225862,-0.3503183644640204,-0.7138342676688683,-1.5287197284848288,-1.0868385836507564,0.18401315449222894,0.9000552540907,1.050251818269585,1.0878071643589773,0.8058587435270701,0.41635336243077536,-0.05304589553776124,-0.059653833491297346,-0.1723710664605398,-0.24579323679813878,-0.7862416881490133,-0.6633977129880604,-1.2413272612874047,-1.2733872152384065,-1.0761790559114308,-0.1686307443592507,0.21550213122178105,0.6522014655292795,0.635494812733695,1.0344338449127979,1.1456268361623083,0.8887884346841632,0.8705063240494415,0.883804710111973,0.08765931413157999,0.05455272229590997,-0.6339941981312275,-0.5914655499319446,-0.5537619342497075,-1.0530116664702232,-1.1513732453785104,-0.5913186921584146,-0.24933243086616527,0.5343491352025898,1.0275602568099906,1.0287426764368535,1.1136966912561044,0.40990734710878884,0.4108635053701726,0.15653584394846534,-0.3904310101825935,-0.21018511339674856,-0.5257868287207623,-1.4594298513518413,-0.8171619465467361,-0.8023615853740176,-0.8541146021658609,-0.6472737306409299,-0.4554091875999673,0.3229582512976495,1.0219627456651605,1.0591481962507745,0.395999047750778,0.8254291517098502,0.5420073287155727,0.05340997607770711,0.07025856570162875,-0.003525627282721686,-0.15894156320612055,-0.4842972152508336,-0.7009186782625247,-0.9250685186991153,-0.646158824584668,-0.20521324857505063,high
pv_low_01,0.8407480384936785,0.8399709296887843,0.8352495708115113,0.8447900569799924,0.8536696076671424,0.8594716796599741,0.8685245050053273,0.8726338430781391,0.873878985425322,0.8745397125799497,0.8769195361624533,0.8904689848747902,0.8962977897489652,0.8931770260314121,0.8970446345520199,0.9009792290788846,0.9096265500999893,0.9154277801810349,0.9109837299925488,0.9092661423516119,0.9075274639304828,0.9058665263257718,0.9114806075861734,0.9154293426923552,0.9183422940177977,0.9232006507492365,0.9227612167171726,0.929624228406125,0.9325194848638373,0.937709922719176,0.9448639876281687,0.9475298439371553,0.9515115653539138,0.9512495764380176,0.9513038016879037,0.9417868636742175,0.945709442767672,0.9464995831446293,0.9491882107824218,0.9589046784722907,0.9678469871358808,0.9695385074333245,0.9687199993790014,0.9634136244506329,0.9663346636218536,0.965849114210015,0.9679198363405136,0.9652215440072668,0.964973560353999,0.9614471171677933,0.9730963259823469,0.9709693598927428,0.9695526299508164,0.9695536211607948,0.9747690991904869,0.9729380699756772,0.9753866923661102,0.9753882183750602,0.9782165459355039,0.9794967176033978,0.9825386624968485,0.9769557990265518,0.9652341601064536,0.9612476074076151,0.9596615586001109,0.9590346112655777,0.9568814704140495,0.9501320848507293,0.9441476014655559,0.9301012617881771,0.9240468664695295,0.926081180721374,0.9249924859313822,0.9255394324333647,0.9311344918452094,0.9262606941611695,0.9187586900021691,0.9205984701485821,0.9226993096563285,0.9214356995629864,0.9186020336028307,0.9117127532265576,0.9138751889295927,0.9162496078070967,0.918285946662025,0.9118066064297389,0.9175574975405639,0.9164057105298783,0.9232735110576336,0.9245930412458206,0.928483407603054,0.9307646735757961,0.9279015762732118,0.9231677866956252,0.9276808429962523,0.9319054681662851,0.9263576211443421,0.932847832905735,0.9278179119330616,0.9240059744403852,0.922038516923734,0.9248764130079836,0.9278429567521999,0.9247580503669681,0.9258032755374943,0.9161615183061562,0.9076947019137879,0.9045175507641504,0.9046270347501465,0.9008779431015208,0.8961315009532294,0.8957220588115737,0.894510649235119,0.8946477798233072,0.8918996925846272,0.8787709088395212,0.881470296661829,0.8708972240283288,0.8692387738867136,0.8699005354486712,0.8663158674797174,0.8657687833159661,0.8595005001680867,0.8563142390688905,0.8506277800570532,0.8539923091224598,0.8508549679560652,0.8340514784959032,low
