class,filename,source_fixture,sha256
biological,astronaut.png,astronaut,110e4ddaf75a5b434e72c621964475c0d746f67ba567a27157c3d1466b87350a
biological,cat.png,cat,0ea23c8487bf6fa1e5a25a0e159df9e7917374bbe9566cc9814b03f6ced0a13d
biological,horse.png,horse,999be6ccc04b09f7e3b88ecec94699068af55daa3adbcbcf0d3dba0533c16554
biological,cell.png,cell,6826e0ae20a7a2c579389def37183dd3e83fbd79351e76cbb86295c286b719f6
object,camera.png,camera,2c5d8ae8dca85278509d6a9c9b4b16eb29372b63b96e964f6621c298a2daa736
object,clock.png,clock,19646c6e413b91920f5cab472649e800f6195994c12ca13c2fac66d811b4790f
object,coffee.png,coffee,f21f3d0478b3602e808b2000b140cca8ff24d3414a8c2f9a027bc8f32ad32e68
object,coins.png,coins,7ccbe32d873d99d753e66b5ab20db665c49ee6a927a2580c48c9ccacb11bc53e
scene,brick.png,brick,25561457ea120721a0f4c08f169f64c2d6837700e51fdbab5e8d789c8e5c8a34
scene,grass.png,grass,ca63af14fe58c26c94669ae6434854cad446dcf78ccf1baa3255821131aa842d
scene,hubble.png,hubble_deep_field,4056b164ad2c9eb1a7d4ac0fbde7509af9fc235e7394c3089c208e7e327a8294
scene,rocket.png,rocket,7688ac6b7eb3be7ebe989fc5a34b8e236b26bc4f99920c10a61d7de8b92c476f
